OrderID,OrderDate,CustomerID,CustomerName,Region,SalesChannel,ProductID,ProductName,Category,BusinessLine,UnitPrice,Quantity,Discount,Revenue,Cost,Profit,CustomerTenureMonths,CustomerSegment,Industry,LastPurchaseDaysAgo
O000001,2023-03-10,C0133,Customer 133,China,Online,S002,Drone Navigation Module,IoT Devices,Smart Devices,320,9,0.1,2592.0,1530,1062.0,65,SME,Medical Distributors,166
O000002,2023-07-04,C0056,Customer 056,Singapore,Online,A001,Advanced PCB Board,Electronics,Autonomous,450,3,0.08,1242.0,750,492.0,77,Retail,Medical Distributors,18
O000003,2023-12-26,C0088,Customer 088,Singapore,Distributor,M004,Patient Monitoring Module,Medical Equipment,Medical,8500,1,0.09,7735.0,5000,2735.0,80,Retail,Consumer Electronics,81
O000004,2025-01-19,C0093,Customer 093,Thailand,Online,S001,Smart Home Controller,IoT Devices,Smart Devices,180,8,0.1,1296.0,720,576.0,75,Enterprise,Industrial Automation,156
O000005,2024-06-10,C0187,Customer 187,China,Online,A004,Robotics Motion Controller,Electronics,Autonomous,950,4,0.08,3496.0,2160,1336.0,66,Retail,Smart Home,70
O000006,2024-11-24,C0003,Customer 003,Singapore,Retail,M002,Operating Table,Medical Equipment,Medical,18000,1,0.18,14760.0,11000,3760.0,30,Enterprise,Robotics,130
O000007,2023-10-16,C0051,Customer 051,Singapore,Retail,M004,Patient Monitoring Module,Medical Equipment,Medical,8500,1,0.18,6970.0,5000,1970.0,50,Enterprise,Hospital Systems,68
O000008,2025-01-19,C0066,Customer 066,Thailand,Retail,M002,Operating Table,Medical Equipment,Medical,18000,3,0.03,52380.0,33000,19380.0,18,Retail,Medical Distributors,68
O000009,2023-09-11,C0162,Customer 162,Malaysia,Online,A004,Robotics Motion Controller,Electronics,Autonomous,950,4,0.07,3534.0,2160,1374.0,85,SME,Smart Home,21
O000010,2024-06-20,C0212,Customer 212,Indonesia,Retail,S002,Drone Navigation Module,IoT Devices,Smart Devices,320,6,0.1,1728.0,1020,708.0,45,Enterprise,Technology,151
O000011,2025-01-30,C0113,Customer 113,Singapore,Distributor,M002,Operating Table,Medical Equipment,Medical,18000,2,0.06,33840.0,22000,11840.0,62,Retail,Industrial Automation,2
O000012,2024-11-02,C0212,Customer 212,Indonesia,Distributor,S002,Drone Navigation Module,IoT Devices,Smart Devices,320,3,0.09,873.6,510,363.6,45,Enterprise,Technology,151
O000013,2025-08-08,C0079,Customer 079,Malaysia,Online,S004,Smart Lock Control Board,IoT Devices,Smart Devices,140,9,0.09,1146.6,630,516.6,49,Enterprise,Medical Distributors,10
O000014,2023-08-27,C0162,Customer 162,Malaysia,Direct Sales,M003,Anesthesia Machine,Medical Equipment,Medical,25000,3,0.1,67500.0,45000,22500.0,85,SME,Smart Home,21
O000015,2024-09-15,C0122,Customer 122,Thailand,Direct Sales,A004,Robotics Motion Controller,Electronics,Autonomous,950,4,0.03,3686.0,2160,1526.0,3,Retail,Technology,139
O000016,2023-10-05,C0128,Customer 128,Singapore,Retail,A003,Sensor Processing Unit,Electronics,Autonomous,620,4,0.05,2356.0,1400,956.0,40,Retail,Automotive OEM,28
O000017,2025-05-08,C0103,Customer 103,Malaysia,Distributor,S002,Drone Navigation Module,IoT Devices,Smart Devices,320,10,0.07,2976.0,1700,1276.0,59,Retail,Medical Distributors,35
O000018,2023-07-22,C0002,Customer 002,Malaysia,Retail,A004,Robotics Motion Controller,Electronics,Autonomous,950,7,0.1,5985.0,3780,2205.0,76,SME,Medical Distributors,109
O000019,2024-07-26,C0152,Customer 152,Indonesia,Online,M001,Surgical Light System,Medical Equipment,Medical,12000,2,0.1,21600.0,14000,7600.0,7,Enterprise,Hospital Systems,142
