CustomerID,CustomerName,TotalRevenue,TotalProfit,TotalOrders,AvgOrderValue,LastPurchaseDate,LastPurchaseDaysAgo,Cluster,SegmentName
C0001,Customer 001,254453.45,82463.45,26,9786.671153846155,2025-11-13,48,0,High Value Active
C0002,Customer 002,327304.5,121444.5,24,13637.6875,2025-12-28,3,0,High Value Active
C0003,Customer 003,250598.35,85023.35,33,7593.889393939394,2025-12-27,4,0,High Value Active
C0004,Customer 004,112010.85,39175.85,19,5895.307894736842,2025-12-04,27,1,Low Engagement
C0005,Customer 005,132562.5,50362.5,17,7797.794117647059,2025-09-28,94,1,Low Engagement
C0006,Customer 006,120487.5,45537.5,16,7530.46875,2025-12-18,13,1,Low Engagement
C0007,Customer 007,195672.6,67422.6,24,8153.025000000001,2025-10-25,67,1,Low Engagement
C0008,Customer 008,316800.1,111690.1,20,15840.005,2025-09-14,108,0,High Value Active
C0009,Customer 009,127341.6,48411.6,15,8489.44,2025-12-27,4,1,Low Engagement
C0010,Customer 010,145969.75,50874.75,23,6346.510869565217,2025-12-17,14,1,Low Engagement
C0011,Customer 011,292812.6,110522.6,25,11712.503999999999,2025-11-13,48,0,High Value Active
C0012,Customer 012,331012.3,119952.3,23,14391.839130434782,2025-12-24,7,0,High Value Active
C0013,Customer 013,115864.7,40669.7,21,5517.366666666667,2025-12-15,16,1,Low Engagement
C0014,Customer 014,282865.55,90210.55,22,12857.525,2025-10-27,65,0,High Value Active
C0015,Customer 015,232292.1,83407.1,25,9291.684000000001,2025-11-11,50,0,High Value Active
C0016,Customer 016,164780.7,64165.7,18,9154.483333333334,2025-10-19,73,1,Low Engagement
C0017,Customer 017,153221.0,51981.0,18,8512.277777777777,2025-10-20,72,1,Low Engagement
C0018,Customer 018,136929.85,54134.85,21,6520.469047619048,2025-11-17,44,1,Low Engagement
C0019,Customer 019,229230.55,83825.55,19,12064.765789473684,2025-08-29,124,2,Low Engagement
C0020,Customer 020,326928.8,115883.8,17,19231.105882352942,2025-12-21,10,0,High Value Active
C0021,Customer 021,145977.4,50957.4,25,5839.096,2025-12-06,25,1,Low Engagement
C0022,Customer 022,326044.9,118969.9,30,10868.163333333334,2025-10-28,64,0,High Value Active
C0023,Customer 023,378598.5,137308.5,25,15143.94,2025-06-24,190,2,Low Engagement
C0024,Customer 024,265879.8,99109.8,21,12660.942857142856,2025-12-06,25,0,High Value Active
C0025,Customer 025,161030.4,61100.4,17,9472.376470588235,2025-10-04,88,1,Low Engagement
C0026,Customer 026,584674.1,211284.1,27,21654.596296296295,2025-11-20,41,3,High Value At Risk
C0027,Customer 027,280907.8,102587.8,23,12213.382608695652,2025-12-26,5,0,High Value Active
C0028,Customer 028,226556.0,72016.0,21,10788.380952380952,2025-11-16,45,0,High Value Active
C0029,Customer 029,414531.0,148621.0,23,18023.08695652174,2025-12-09,22,3,High Value At Risk
C0030,Customer 030,315095.75,115190.75,20,15754.7875,2025-11-09,52,0,High Value Active
C0031,Customer 031,263388.3,95818.3,25,10535.532,2025-12-07,24,0,High Value Active
C0032,Customer 032,266497.5,87857.5,24,11104.0625,2025-10-27,65,0,High Value Active
C0033,Customer 033,247741.1,81691.1,19,13039.005263157895,2025-08-27,126,2,Low Engagement
C0034,Customer 034,476751.05,172021.05,31,15379.066129032257,2025-11-27,34,3,High Value At Risk
C0035,Customer 035,264960.7,93330.7,18,14720.03888888889,2025-12-16,15,0,High Value Active
C0036,Customer 036,289148.45,109793.45,29,9970.636206896552,2025-11-28,33,0,High Value Active
